"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Impressões,Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Valor de conversão da compra no site","Adições ao carrinho","Finalizações de compra iniciadas","Inclusões de informações de pagamento","ROAS (retorno sobre o investimento em publicidade) das compras","Cliques no link","Visualizações da página de destino do site",HOOKRATE,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","CTR de saída único","CPM (custo por 1.000 impressões) (BRL)","Custo por visualização da página de destino (BRL)","Custo por finalização de compra iniciada (BRL)","Custo por adição ao carrinho (BRL)","Salvamentos do post",Frequência,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Reproduções do vídeo por no mínimo 3 segundos","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo"
2023-03-27,2026-04-27,[VID129],not_delivering,"Usando orçamento da campanha",0,535,594,,,,13.6,,1,,,,11,11,0.20707071,1.236364,1.851852,2.056075,22.895623,1.236364,,13.6,,1.11028,–,–,–,123,45,35,14
2023-03-27,2026-04-27,[VID129],not_delivering,"Usando orçamento da campanha",0,8351,9522,7,actions:offsite_conversion.fb_pixel_purchase,23.67428571,165.72,846.31,19,12,9,5.106867,120,119,0.24007561,1.381,1.260239,1.377081,17.403907,1.392605,13.81,8.722105,10,1.140223,–,–,–,2286,739,507,284
2023-03-27,2026-04-27,[VID],archived,"Usando orçamento da campanha",0,254,257,,,,8.83,,,,,,1,1,0.25680934,8.83,0.389105,0.393701,34.357977,8.83,,,,1.011811,–,–,–,66,23,14,9
2023-03-27,2026-04-27,[VID],archived,"Usando orçamento da campanha",0,232,239,,,,6.16,,,,,,1,,0.21338912,6.16,0.41841,0.431034,25.774059,,,,,1.030172,–,–,–,51,20,9,5
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,25,Diário,766,797,,,,23.73,,,,,,8,8,0.33249686,2.96625,1.003764,1.044386,29.774153,2.96625,,,1,1.04047,–,–,–,265,102,49,22
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,25,Diário,500,526,,,,24.38,,,,,,5,5,0.33079848,4.876,0.95057,1,46.34981,4.876,,,,1.052,–,–,–,174,58,27,10
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,25,Diário,631,649,,,,23.9,,2,2,,,7,7,0.3990755,3.414286,1.078582,1.10935,36.825886,3.414286,11.95,11.95,,1.028526,–,–,–,259,88,37,22
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,30,Diário,5273,5895,5,actions:offsite_conversion.fb_pixel_purchase,33.576,167.88,561.36,10,4,4,3.343817,84,82,0.37760814,1.998571,1.424936,1.555092,28.478372,2.047317,41.97,16.788,22,1.117959,–,–,–,2226,881,462,253
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,30,Diário,5315,5611,4,actions:offsite_conversion.fb_pixel_purchase,41.815,167.26,431.34,19,5,4,2.578859,102,120,0.38941365,1.639804,1.817858,1.862653,29.809303,1.393833,33.452,8.803158,21,1.055691,–,–,–,2185,822,422,228
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,25,Diário,552,577,,,,23.25,,1,,,,11,11,0.35355286,2.113636,1.906412,1.992754,40.294627,2.113636,,23.25,2,1.04529,–,–,–,204,83,47,23
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,25,Diário,660,665,,,,23.84,,1,,,,9,8,0.4075188,2.648889,1.353383,1.363636,35.849624,2.98,,23.84,2,1.007576,–,–,–,271,91,45,26
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,25,Diário,572,597,,,,23.83,,9,1,,,8,10,0.2998325,2.97875,1.340034,1.398601,39.916248,2.383,23.83,2.647778,2,1.043706,–,–,–,179,60,28,16
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,25,Diário,588,610,1,actions:offsite_conversion.fb_pixel_purchase,23.37,23.37,55.93,2,2,1,2.393239,15,14,0.38196721,1.558,2.459016,2.380952,38.311475,1.669286,11.685,11.685,1,1.037415,–,–,–,233,88,41,19
2023-03-27,2026-04-27,[VID_AUG23],not_delivering,30,Diário,5215,5558,5,actions:offsite_conversion.fb_pixel_purchase,33.336,166.68,499.3,26,7,5,2.99556,73,70,0.39780497,2.283288,1.313422,1.380633,29.989205,2.381143,23.811429,6.410769,13,1.065772,–,–,–,2211,851,383,184
2023-03-27,2026-04-27,[VID_AUG23_FD+ST],not_delivering,"Usando orçamento da campanha",0,706,726,,,,15.84,,5,,,,11,9,0.37327824,1.44,1.515152,1.558074,21.818182,1.76,,3.168,1,1.028329,–,–,–,271,106,47,28
